"sessionid","computerid","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","bf11","bf12","bf13","bf14","bf15","bf16","bf17","bf18","bf19","bf20","bf21","bf22","bf23","bf24","bf25","bf26","bf27","bf28","bf29","bf30","bf31","bf32","bf33","bf34","bf35","bf36","bf37","bf38","bf39","bf40","bf41","bf42","bf43","bf44","o1"
"HJSCV",4,5,4,4,5,5,4,5,1,5,5,5,1,2,2,5,1,5,1,1,5,1,2,1,5,5,5,4,5,5,5,1,5,5,5,5,5,1,5,4,4,1,5,1,5,1
"AFKYR",1,1,1,1,1,5,5,5,1,1,1,5,1,5,5,5,,5,1,1,5,1,5,1,5,,1,5,1,5,5,1,5,5,5,5,4,1,5,1,5,1,5,,5,1
"AFKYR",2,4,1,5,1,5,4,5,1,5,4,5,1,5,4,5,4,5,1,1,4,4,5,1,5,4,5,1,5,5,5,4,5,5,5,5,1,4,5,5,5,1,4,1,5,5
"AFKYR",3,5,1,5,1,5,5,1,1,5,5,5,1,5,5,2,1,3,1,5,5,1,5,1,,5,5,1,1,5,5,1,5,5,1,5,3,,4,5,5,1,1,1,1,1
"AFKYR",4,5,4,5,1,5,1,5,4,1,5,5,1,5,5,3,5,5,2,2,3,5,2,5,4,2,5,3,5,5,5,1,5,2,1,1,5,4,4,2,4,4,5,2,3,1
"HJSCV",5,4,3,5,3,5,5,5,1,4,2,4,1,5,3,5,3,3,1,2,5,3,4,1,5,3,4,3,5,4,4,5,5,5,3,4,5,1,5,3,1,4,5,1,3,1
"AFKYR",6,2,3,5,3,5,3,5,1,3,5,5,1,5,3,5,3,4,1,5,5,4,5,1,4,,4,1,5,5,4,3,3,4,5,4,4,3,4,3,5,1,4,1,5,3
"AFKYR",7,5,3,5,1,5,5,5,1,4,4,4,2,5,4,4,3,4,1,3,5,1,5,1,5,5,2,4,3,4,5,1,4,5,5,4,2,1,4,3,5,4,5,1,4,1
"AFKYR",8,5,3,5,,5,4,5,1,4,5,5,1,5,4,5,4,5,1,3,5,3,5,1,3,5,5,3,4,5,5,3,5,5,2,4,5,1,5,5,5,4,5,2,4,3
"AFKYR",9,5,5,5,5,5,5,5,1,2,1,5,1,5,3,4,3,5,1,1,5,4,4,1,5,5,5,2,5,5,5,4,5,5,5,5,5,2,5,5,5,1,5,1,5,1
"AFKYR",10,4,1,4,1,4,4,4,2,5,5,5,1,5,4,3,3,4,1,4,5,4,5,1,4,3,3,3,4,4,5,4,4,5,4,4,5,2,5,2,4,2,5,1,4,1
"AFKYR",11,4,2,5,5,5,5,5,4,5,5,5,1,5,1,5,5,5,1,1,5,1,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,5,4,5,4,4,5
"AFKYR",12,5,2,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,1,1,1,5,5,5,5,1,5,4,1,1,5,5,5,4,5,5,4,5,4,5
"AFKYR",13,2,2,5,3,5,4,5,1,2,5,4,1,5,3,5,3,5,1,1,5,4,5,1,5,5,5,1,3,2,5,1,4,5,2,4,5,1,5,2,5,4,5,3,4,1
"AFKYR",14,3,2,2,3,2,3,1,5,2,1,1,5,2,3,2,1,1,4,5,1,3,1,5,1,3,3,3,2,3,2,4,1,2,2,3,1,5,2,5,2,5,1,4,3,4
"AFKYR",15,2,1,5,1,4,1,5,1,5,3,5,1,5,5,1,2,4,1,4,5,4,4,1,5,4,5,1,5,5,5,4,5,5,2,5,5,1,5,1,4,2,5,1,2,1
"AFKYR",16,5,1,1,3,5,4,5,1,1,3,3,1,5,3,4,3,3,4,4,4,5,5,1,3,3,5,3,5,5,4,2,4,5,3,5,3,1,5,4,5,4,5,4,4,4
"AFKYR",17,1,4,4,3,5,2,5,1,4,5,2,1,4,3,5,3,5,1,2,4,4,5,1,3,4,4,1,3,3,4,1,5,4,3,4,1,1,4,3,4,3,3,1,3,3
"AFKYR",18,4,,5,3,4,1,4,1,4,4,4,5,4,5,1,4,4,2,4,2,4,4,5,4,4,5,2,4,4,4,4,2,4,4,5,3,4,5,4,2,5,5,4,3,1
"AFKYR",19,4,4,4,,5,4,5,2,2,4,5,4,5,4,4,4,4,1,1,4,3,5,1,5,4,4,3,5,4,4,4,4,4,1,4,5,1,5,1,5,4,5,2,4,1
"AFKYR",20,5,1,5,1,1,5,5,1,5,5,5,1,5,5,5,1,5,1,1,5,1,5,1,1,1,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,1
"AFKYR",21,1,1,2,2,4,1,5,2,4,4,4,2,5,2,4,4,4,2,2,4,4,5,2,4,4,4,4,4,4,4,4,5,4,4,5,5,2,4,2,4,4,5,2,2,1
"AFKYR",22,4,1,5,3,4,3,5,1,4,5,5,1,2,4,5,5,4,1,4,5,5,1,1,5,4,4,5,3,5,5,4,4,5,4,4,5,1,4,2,5,4,5,1,4,5
"AFKYR",23,2,1,5,1,1,2,5,1,2,5,4,1,5,1,4,5,5,1,2,1,2,5,1,5,5,4,2,4,1,4,2,5,5,4,3,5,1,5,1,5,4,5,3,3,3
"AFKYR",24,1,1,2,3,4,3,5,1,4,2,5,1,4,3,5,4,5,1,1,5,4,5,1,5,3,4,3,4,4,5,4,5,5,3,5,4,1,5,1,4,5,5,2,4,5
"AFKYR",25,5,3,2,1,4,1,4,3,4,3,4,2,5,4,5,4,5,1,4,5,2,4,2,4,5,4,3,5,3,5,1,4,5,4,4,5,4,5,3,4,1,5,1,3,1
"AFKYR",26,5,4,2,3,5,4,4,1,4,5,4,1,4,3,5,4,4,1,1,5,3,5,1,5,5,4,3,5,4,3,1,4,5,1,4,5,1,5,2,3,2,4,2,4,1
"AFKYR",27,4,4,5,4,4,2,5,2,4,4,4,4,5,4,4,4,4,2,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,2,4,2,4,2,4,2,4,2
"AFKYR",28,4,2,5,4,4,4,5,1,4,5,4,2,4,4,5,4,2,4,4,2,5,4,2,4,4,5,2,5,2,4,3,2,1,2,4,4,2,4,2,4,4,5,4,4,1
"AFKYR",29,4,1,4,2,5,5,5,1,2,5,5,1,5,4,5,4,4,1,2,5,2,5,1,2,5,4,2,5,5,5,4,5,5,4,5,4,1,5,2,5,5,5,2,5,2
"AFKYR",39,1,1,5,5,5,5,5,1,5,4,4,1,5,4,5,5,5,1,1,5,5,5,1,5,5,5,4,5,4,5,5,5,5,5,5,5,1,5,1,5,4,5,1,4,1
"GYOVF",1,5,2,4,3,4,4,4,2,4,4,3,3,4,3,4,4,5,4,2,4,1,4,4,2,4,3,3,4,4,5,1,4,4,2,5,5,4,3,4,5,1,5,5,4,3
"GYOVF",2,4,1,5,1,5,3,5,3,4,4,5,1,5,3,5,3,5,3,3,5,2,5,1,5,4,5,3,5,5,5,1,4,5,4,5,4,3,5,3,4,4,5,3,4,2
"GYOVF",3,4,2,5,1,5,4,5,2,4,2,4,2,5,3,4,2,4,1,4,4,2,5,1,4,2,4,3,2,5,5,4,4,4,5,5,4,2,4,2,5,2,4,1,4,2
"GYOVF",4,,5,5,1,5,4,5,4,2,2,5,2,5,4,5,4,5,2,2,5,4,5,1,4,4,4,2,4,4,5,4,4,5,4,5,4,4,4,4,5,2,5,4,2,2
"GYOVF",5,2,4,4,4,2,1,5,1,5,4,4,1,5,2,4,4,1,1,5,4,5,5,1,2,4,4,4,5,1,4,5,5,5,4,1,1,2,4,5,4,2,5,5,2,1
"GYOVF",6,4,1,2,2,5,3,5,4,4,4,5,1,5,3,5,3,5,2,1,4,4,4,1,4,4,4,3,4,3,3,2,5,5,3,4,5,3,5,3,3,4,5,1,3,3
"GYOVF",7,4,2,4,2,5,4,4,3,3,4,4,1,3,3,4,4,4,1,1,4,4,4,2,5,3,4,3,4,3,3,3,4,4,3,2,4,2,5,2,5,3,5,3,2,3
"GYOVF",8,5,1,5,1,5,4,5,2,,4,5,1,5,4,4,4,5,1,,3,4,4,1,5,4,4,4,2,5,4,4,4,4,4,4,5,2,4,5,4,4,5,2,4,4
"GYOVF",9,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,1,1,5,1,5,1,5,5,5,1,5,5,5,1,5,5,5,1,5,1,5,5,5,1,5,1,5,1
"GYOVF",10,1,5,5,1,1,4,1,1,4,4,4,1,1,5,4,1,5,1,1,1,4,5,1,5,1,5,4,4,5,5,1,5,5,4,5,5,1,5,4,5,1,5,1,4,2
"GYOVF",11,4,1,1,2,1,1,4,2,2,5,3,2,4,4,2,4,1,2,4,4,2,4,2,1,4,1,2,2,5,4,5,1,4,1,3,3,2,1,2,4,4,5,2,1,1
"GYOVF",12,3,1,2,3,1,2,1,3,5,1,1,1,2,3,3,3,5,3,3,3,3,3,2,1,3,3,3,3,3,3,5,3,3,3,3,3,4,1,3,4,2,3,4,1,2
"GYOVF",13,5,4,4,1,4,1,4,1,5,4,4,1,5,1,2,4,5,1,4,5,1,4,4,5,4,5,4,4,5,5,5,5,4,4,1,4,1,5,4,4,4,5,5,2,1
"GYOVF",14,5,1,3,1,5,1,5,1,4,5,5,1,5,1,5,4,5,1,4,5,1,5,1,4,2,5,4,5,4,5,1,5,5,4,1,5,1,4,1,5,1,5,1,,1
"GYOVF",15,5,4,4,1,4,4,5,4,5,5,4,1,5,4,4,4,5,2,1,4,1,5,1,5,5,4,1,5,1,2,5,5,5,5,4,4,1,5,1,5,2,5,1,1,2
"GYOVF",16,4,5,5,4,5,4,4,4,1,5,5,3,5,5,5,5,5,1,1,3,3,3,1,5,3,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,2,5,3,5,2
"GYOVF",17,4,2,4,2,5,4,5,1,4,5,4,1,5,3,5,4,3,1,1,5,2,5,1,4,5,4,1,5,2,5,1,4,1,4,4,5,1,5,1,5,1,5,1,5,3
"GYOVF",18,4,1,5,1,5,2,5,1,4,2,5,1,5,4,5,3,5,1,2,4,2,4,1,5,4,4,3,2,4,4,2,5,5,4,4,4,1,5,1,5,1,5,2,4,1
"GYOVF",19,5,4,5,1,4,4,5,2,4,4,5,1,5,3,5,5,5,1,2,4,4,5,1,4,4,4,3,4,4,3,2,5,5,3,4,5,1,5,1,4,4,5,1,4,4
"GYOVF",20,1,5,5,5,5,2,5,1,5,5,5,1,5,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,4,5,1,4,1
"GYOVF",21,4,2,4,3,5,2,4,2,4,4,4,1,4,2,4,2,4,2,2,2,2,4,2,4,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,2,2,2
"GYOVF",22,4,2,4,2,2,3,4,4,5,2,4,1,4,1,2,1,4,2,1,2,2,4,1,4,3,3,1,4,3,1,5,4,4,5,4,4,1,4,1,1,1,4,1,1,1
"GYOVF",23,4,1,5,1,5,4,5,2,2,5,4,1,5,4,5,4,5,1,1,5,4,5,1,5,5,4,3,5,5,4,4,5,5,5,3,4,1,5,1,5,2,4,1,2,5
"GYOVF",24,4,1,5,1,5,1,5,1,5,5,5,1,5,1,5,5,5,1,5,5,5,4,1,5,5,5,4,4,4,5,1,5,5,4,5,5,1,5,1,5,2,5,1,4,1
"GYOVF",25,4,2,5,1,4,5,5,2,2,5,5,1,5,5,4,4,5,1,2,4,4,5,1,4,4,5,1,5,5,5,5,5,5,5,4,4,2,4,1,5,5,5,1,5,1
"GYOVF",26,5,1,4,5,5,4,5,1,4,4,5,1,5,4,5,4,5,1,1,4,2,5,1,5,5,5,1,5,1,5,1,5,5,1,5,5,1,5,1,5,2,5,1,5,4
"GYOVF",27,2,3,5,1,3,1,4,5,5,4,3,4,5,5,3,4,4,3,5,5,4,5,2,5,4,3,3,5,5,3,5,4,4,5,5,4,5,3,4,5,3,5,4,2,1
"GYOVF",28,1,2,5,1,5,1,5,1,1,1,2,1,5,2,5,4,4,1,1,2,2,5,1,1,5,5,2,5,4,4,1,5,5,4,4,2,1,5,1,4,4,5,1,1,1
"GYOVF",29,2,1,5,1,1,5,1,1,5,5,5,1,1,1,5,1,5,1,1,5,1,5,1,5,1,1,5,1,1,5,5,5,5,1,5,1,1,5,1,5,5,5,5,5,1
"GYOVF",30,4,1,2,2,5,5,5,1,4,4,5,1,5,,5,4,4,2,4,5,4,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,1,4,5
