"sessionid","computerid","mnr","answer"
"HJSCV",4,1,3
"HJSCV",4,2,2
"HJSCV",4,3,1
"HJSCV",4,4,5
"HJSCV",4,5,4
"HJSCV",4,6,3
"HJSCV",4,7,5
"HJSCV",4,8,1
"HJSCV",4,9,4
"HJSCV",4,10,1
"HJSCV",4,11,5
"HJSCV",4,12,1
"HJSCV",4,13,2
"HJSCV",4,14,3
"HJSCV",4,15,5
"HJSCV",4,16,3
"HJSCV",4,17,
"HJSCV",4,18,
"HJSCV",4,19,4
"HJSCV",4,20,2
"GYOVF",28,1,3
"GYOVF",28,2,2
"GYOVF",28,3,1
"GYOVF",28,4,5
"GYOVF",28,5,4
"GYOVF",28,6,3
"GYOVF",28,7,3
"GYOVF",28,8,3
"GYOVF",28,9,4
"GYOVF",28,10,3
"GYOVF",28,11,3
"GYOVF",28,12,3
"GYOVF",28,13,3
"GYOVF",28,14,4
"GYOVF",28,15,1
"GYOVF",28,16,4
"GYOVF",28,17,1
"GYOVF",28,18,2
"GYOVF",28,19,4
"GYOVF",28,20,3
"GYOVF",28,21,1
"GYOVF",28,22,5
"GYOVF",28,23,5
"GYOVF",28,24,2
"GYOVF",28,25,5
"GYOVF",28,26,3
"GYOVF",29,1,3
"GYOVF",29,2,2
"GYOVF",29,3,1
"GYOVF",29,4,5
"GYOVF",29,5,4
"GYOVF",29,6,3
"GYOVF",29,7,5
"GYOVF",29,8,1
"GYOVF",29,9,4
"GYOVF",29,10,1
"GYOVF",29,11,5
"GYOVF",29,12,1
"GYOVF",29,13,2
"GYOVF",29,14,5
"GYOVF",29,15,5
"GYOVF",29,16,3
"GYOVF",29,17,2
"GYOVF",29,18,1
"GYOVF",29,19,4
"GYOVF",29,20,5
"GYOVF",29,21,5
"GYOVF",29,22,
"GYOVF",29,23,5
"GYOVF",29,24,3
"GYOVF",29,25,2
"GYOVF",29,26,
"GYOVF",30,1,3
"GYOVF",30,2,2
"GYOVF",30,3,1
"GYOVF",30,4,5
"GYOVF",30,5,4
"GYOVF",30,6,3
"GYOVF",30,7,5
"GYOVF",30,8,1
"GYOVF",30,9,4
"GYOVF",30,10,1
"GYOVF",30,11,5
"GYOVF",30,12,1
"GYOVF",30,13,2
"GYOVF",30,14,3
"GYOVF",30,15,5
"GYOVF",30,16,3
"GYOVF",30,17,3
"GYOVF",30,18,
"GYOVF",30,19,3
"GYOVF",30,20,2
"GYOVF",30,21,5
"GYOVF",30,22,5
"GYOVF",30,23,3
"GYOVF",30,24,2
"GYOVF",30,25,
"GYOVF",30,26,
"GYOVF",4,1,3
"GYOVF",4,2,2
"GYOVF",4,3,1
"GYOVF",4,4,5
"GYOVF",4,5,4
"GYOVF",4,6,3
"GYOVF",4,7,5
"GYOVF",4,8,1
"GYOVF",4,9,4
"GYOVF",4,10,1
"GYOVF",4,11,5
"GYOVF",4,12,1
"GYOVF",4,13,2
"GYOVF",4,14,3
"GYOVF",4,15,5
"GYOVF",4,16,4
"GYOVF",4,17,2
"GYOVF",4,18,
"GYOVF",4,19,
"GYOVF",4,20,
"GYOVF",4,21,
"GYOVF",4,22,
"GYOVF",4,23,
"GYOVF",4,24,
"GYOVF",4,25,
"GYOVF",4,26,
"GYOVF",5,1,3
"GYOVF",5,2,2
"GYOVF",5,3,1
"GYOVF",5,4,5
"GYOVF",5,5,4
"GYOVF",5,6,3
"GYOVF",5,7,4
"GYOVF",5,8,1
"GYOVF",5,9,3
"GYOVF",5,10,1
"GYOVF",5,11,4
"GYOVF",5,12,1
"GYOVF",5,13,4
"GYOVF",5,14,1
"GYOVF",5,15,3
"GYOVF",5,16,5
"GYOVF",5,17,5
"GYOVF",5,18,
"GYOVF",5,19,1
"GYOVF",5,20,5
"GYOVF",5,21,2
"GYOVF",5,22,3
"GYOVF",5,23,4
"GYOVF",5,24,4
"GYOVF",5,25,5
"GYOVF",5,26,1
"GYOVF",6,1,3
"GYOVF",6,2,2
"GYOVF",6,3,1
"GYOVF",6,4,5
"GYOVF",6,5,4
"GYOVF",6,6,3
"GYOVF",6,7,5
"GYOVF",6,8,1
"GYOVF",6,9,4
"GYOVF",6,10,1
"GYOVF",6,11,5
"GYOVF",6,12,1
"GYOVF",6,13,2
"GYOVF",6,14,4
"GYOVF",6,15,3
"GYOVF",6,16,3
"GYOVF",6,17,5
"GYOVF",6,18,1
"GYOVF",6,19,2
"GYOVF",6,20,2
"GYOVF",6,21,1
"GYOVF",6,22,1
"GYOVF",6,23,1
"GYOVF",6,24,
"GYOVF",6,25,4
"GYOVF",6,26,5
"GYOVF",10,1,3
"GYOVF",10,2,2
"GYOVF",10,3,1
"GYOVF",10,4,5
"GYOVF",10,5,4
"GYOVF",10,6,3
"GYOVF",10,7,5
"GYOVF",10,8,2
"GYOVF",10,9,4
"GYOVF",10,10,1
"GYOVF",10,11,5
"GYOVF",10,12,1
"GYOVF",10,13,2
"GYOVF",10,14,3
"GYOVF",10,15,5
"GYOVF",10,16,4
"GYOVF",10,17,2
"GYOVF",10,18,2
"GYOVF",10,19,4
"GYOVF",10,20,5
"GYOVF",10,21,5
"GYOVF",10,22,1
"GYOVF",10,23,
"GYOVF",10,24,
"GYOVF",10,25,
"GYOVF",10,26,
"GYOVF",11,1,3
"GYOVF",11,2,2
"GYOVF",11,3,1
"GYOVF",11,4,5
"GYOVF",11,5,4
"GYOVF",11,6,3
"GYOVF",11,7,5
"GYOVF",11,8,1
"GYOVF",11,9,3
"GYOVF",11,10,1
"GYOVF",11,11,1
"GYOVF",11,12,1
"GYOVF",11,13,2
"GYOVF",11,14,3
"GYOVF",11,15,5
"GYOVF",11,16,4
"GYOVF",11,17,2
"GYOVF",11,18,3
"GYOVF",11,19,4
"GYOVF",11,20,5
"GYOVF",11,21,3
"GYOVF",11,22,2
"GYOVF",11,23,4
"GYOVF",11,24,5
"GYOVF",11,25,4
"GYOVF",11,26,3
"GYOVF",12,1,3
"GYOVF",12,2,2
"GYOVF",12,3,1
"GYOVF",12,4,5
"GYOVF",12,5,4
"GYOVF",12,6,3
"GYOVF",12,7,3
"GYOVF",12,8,3
"GYOVF",12,9,3
"GYOVF",12,10,5
"GYOVF",12,11,2
"GYOVF",12,12,2
"GYOVF",12,13,3
"GYOVF",12,14,3
"GYOVF",12,15,1
"GYOVF",12,16,3
"GYOVF",12,17,2
"GYOVF",12,18,
"GYOVF",12,19,1
"GYOVF",12,20,4
"GYOVF",12,21,2
"GYOVF",12,22,4
"GYOVF",12,23,4
"GYOVF",12,24,3
"GYOVF",12,25,
"GYOVF",12,26,
"GYOVF",16,1,3
"GYOVF",16,2,2
"GYOVF",16,3,1
"GYOVF",16,4,5
"GYOVF",16,5,4
"GYOVF",16,6,3
"GYOVF",16,7,5
"GYOVF",16,8,1
"GYOVF",16,9,4
"GYOVF",16,10,1
"GYOVF",16,11,5
"GYOVF",16,12,1
"GYOVF",16,13,2
"GYOVF",16,14,3
"GYOVF",16,15,5
"GYOVF",16,16,3
"GYOVF",16,17,
"GYOVF",16,18,
"GYOVF",16,19,
"GYOVF",16,20,
"GYOVF",16,21,
"GYOVF",16,22,
"GYOVF",16,23,
"GYOVF",16,24,
"GYOVF",16,25,
"GYOVF",16,26,
"GYOVF",17,1,3
"GYOVF",17,2,2
"GYOVF",17,3,1
"GYOVF",17,4,5
"GYOVF",17,5,4
"GYOVF",17,6,3
"GYOVF",17,7,5
"GYOVF",17,8,1
"GYOVF",17,9,4
"GYOVF",17,10,1
"GYOVF",17,11,5
"GYOVF",17,12,1
"GYOVF",17,13,2
"GYOVF",17,14,5
"GYOVF",17,15,5
"GYOVF",17,16,3
"GYOVF",17,17,2
"GYOVF",17,18,2
"GYOVF",17,19,
"GYOVF",17,20,
"GYOVF",17,21,
"GYOVF",17,22,
"GYOVF",17,23,
"GYOVF",17,24,
"GYOVF",17,25,
"GYOVF",17,26,
"GYOVF",18,1,3
"GYOVF",18,2,2
"GYOVF",18,3,1
"GYOVF",18,4,5
"GYOVF",18,5,4
"GYOVF",18,6,3
"GYOVF",18,7,5
"GYOVF",18,8,1
"GYOVF",18,9,2
"GYOVF",18,10,3
"GYOVF",18,11,5
"GYOVF",18,12,1
"GYOVF",18,13,2
"GYOVF",18,14,3
"GYOVF",18,15,5
"GYOVF",18,16,4
"GYOVF",18,17,2
"GYOVF",18,18,1
"GYOVF",18,19,4
"GYOVF",18,20,2
"GYOVF",18,21,3
"GYOVF",18,22,4
"GYOVF",18,23,
"GYOVF",18,24,
"GYOVF",18,25,
"GYOVF",18,26,
"GYOVF",22,1,3
"GYOVF",22,2,2
"GYOVF",22,3,1
"GYOVF",22,4,5
"GYOVF",22,5,2
"GYOVF",22,6,3
"GYOVF",22,7,5
"GYOVF",22,8,1
"GYOVF",22,9,1
"GYOVF",22,10,3
"GYOVF",22,11,5
"GYOVF",22,12,1
"GYOVF",22,13,2
"GYOVF",22,14,2
"GYOVF",22,15,3
"GYOVF",22,16,3
"GYOVF",22,17,2
"GYOVF",22,18,3
"GYOVF",22,19,4
"GYOVF",22,20,2
"GYOVF",22,21,4
"GYOVF",22,22,4
"GYOVF",22,23,4
"GYOVF",22,24,1
"GYOVF",22,25,4
"GYOVF",22,26,1
"GYOVF",23,1,3
"GYOVF",23,2,2
"GYOVF",23,3,1
"GYOVF",23,4,3
"GYOVF",23,5,2
"GYOVF",23,6,1
"GYOVF",23,7,3
"GYOVF",23,8,2
"GYOVF",23,9,5
"GYOVF",23,10,5
"GYOVF",23,11,3
"GYOVF",23,12,4
"GYOVF",23,13,3
"GYOVF",23,14,5
"GYOVF",23,15,4
"GYOVF",23,16,4
"GYOVF",23,17,1
"GYOVF",23,18,
"GYOVF",23,19,4
"GYOVF",23,20,3
"GYOVF",23,21,1
"GYOVF",23,22,4
"GYOVF",23,23,3
"GYOVF",23,24,1
"GYOVF",23,25,2
"GYOVF",23,26,3
"GYOVF",24,1,3
"GYOVF",24,2,2
"GYOVF",24,3,1
"GYOVF",24,4,5
"GYOVF",24,5,4
"GYOVF",24,6,3
"GYOVF",24,7,5
"GYOVF",24,8,2
"GYOVF",24,9,4
"GYOVF",24,10,1
"GYOVF",24,11,5
"GYOVF",24,12,1
"GYOVF",24,13,2
"GYOVF",24,14,3
"GYOVF",24,15,1
"GYOVF",24,16,4
"GYOVF",24,17,1
"GYOVF",24,18,2
"GYOVF",24,19,1
"GYOVF",24,20,1
"GYOVF",24,21,2
"GYOVF",24,22,3
"GYOVF",24,23,
"GYOVF",24,24,
"GYOVF",24,25,
"GYOVF",24,26,
"GYOVF",3,1,3
"GYOVF",3,2,2
"GYOVF",3,3,1
"GYOVF",3,4,5
"GYOVF",3,5,4
"GYOVF",3,6,3
"GYOVF",3,7,5
"GYOVF",3,8,1
"GYOVF",3,9,4
"GYOVF",3,10,1
"GYOVF",3,11,5
"GYOVF",3,12,1
"GYOVF",3,13,2
"GYOVF",3,14,3
"GYOVF",3,15,5
"GYOVF",3,16,3
"GYOVF",3,17,4
"GYOVF",3,18,
"GYOVF",3,19,5
"GYOVF",3,20,4
"GYOVF",3,21,2
"GYOVF",3,22,4
"GYOVF",3,23,5
"GYOVF",3,24,5
"GYOVF",3,25,5
"GYOVF",3,26,2
"GYOVF",2,1,5
"GYOVF",2,2,4
"GYOVF",2,3,4
"GYOVF",2,4,
"GYOVF",2,5,3
"GYOVF",2,6,5
"GYOVF",2,7,
"GYOVF",2,8,5
"GYOVF",2,9,2
"GYOVF",2,10,3
"GYOVF",2,11,4
"GYOVF",2,12,5
"GYOVF",2,13,5
"GYOVF",2,14,5
"GYOVF",2,15,3
"GYOVF",2,16,3
"GYOVF",2,17,4
"GYOVF",2,18,
"GYOVF",2,19,5
"GYOVF",2,20,3
"GYOVF",2,21,1
"GYOVF",2,22,5
"GYOVF",2,23,5
"GYOVF",2,24,3
"GYOVF",2,25,5
"GYOVF",2,26,5
"GYOVF",1,1,
"GYOVF",1,2,2
"GYOVF",1,3,1
"GYOVF",1,4,4
"GYOVF",1,5,4
"GYOVF",1,6,3
"GYOVF",1,7,5
"GYOVF",1,8,1
"GYOVF",1,9,4
"GYOVF",1,10,1
"GYOVF",1,11,5
"GYOVF",1,12,1
"GYOVF",1,13,2
"GYOVF",1,14,3
"GYOVF",1,15,3
"GYOVF",1,16,4
"GYOVF",1,17,5
"GYOVF",1,18,1
"GYOVF",1,19,3
"GYOVF",1,20,2
"GYOVF",1,21,5
"GYOVF",1,22,5
"GYOVF",1,23,1
"GYOVF",1,24,1
"GYOVF",1,25,4
"GYOVF",1,26,4
"GYOVF",7,1,3
"GYOVF",7,2,2
"GYOVF",7,3,1
"GYOVF",7,4,5
"GYOVF",7,5,4
"GYOVF",7,6,3
"GYOVF",7,7,5
"GYOVF",7,8,1
"GYOVF",7,9,4
"GYOVF",7,10,1
"GYOVF",7,11,4
"GYOVF",7,12,1
"GYOVF",7,13,2
"GYOVF",7,14,3
"GYOVF",7,15,5
"GYOVF",7,16,4
"GYOVF",7,17,2
"GYOVF",7,18,1
"GYOVF",7,19,2
"GYOVF",7,20,1
"GYOVF",7,21,5
"GYOVF",7,22,1
"GYOVF",7,23,
"GYOVF",7,24,4
"GYOVF",7,25,5
"GYOVF",7,26,2
"GYOVF",8,1,5
"GYOVF",8,2,2
"GYOVF",8,3,1
"GYOVF",8,4,5
"GYOVF",8,5,4
"GYOVF",8,6,3
"GYOVF",8,7,5
"GYOVF",8,8,1
"GYOVF",8,9,4
"GYOVF",8,10,1
"GYOVF",8,11,5
"GYOVF",8,12,1
"GYOVF",8,13,2
"GYOVF",8,14,3
"GYOVF",8,15,5
"GYOVF",8,16,3
"GYOVF",8,17,
"GYOVF",8,18,
"GYOVF",8,19,4
"GYOVF",8,20,
"GYOVF",8,21,
"GYOVF",8,22,
"GYOVF",8,23,
"GYOVF",8,24,2
"GYOVF",8,25,3
"GYOVF",8,26,2
"GYOVF",9,1,3
"GYOVF",9,2,2
"GYOVF",9,3,1
"GYOVF",9,4,5
"GYOVF",9,5,4
"GYOVF",9,6,3
"GYOVF",9,7,5
"GYOVF",9,8,1
"GYOVF",9,9,4
"GYOVF",9,10,1
"GYOVF",9,11,5
"GYOVF",9,12,3
"GYOVF",9,13,2
"GYOVF",9,14,3
"GYOVF",9,15,5
"GYOVF",9,16,4
"GYOVF",9,17,5
"GYOVF",9,18,
"GYOVF",9,19,5
"GYOVF",9,20,5
"GYOVF",9,21,4
"GYOVF",9,22,
"GYOVF",9,23,
"GYOVF",9,24,
"GYOVF",9,25,
"GYOVF",9,26,
"GYOVF",13,1,3
"GYOVF",13,2,2
"GYOVF",13,3,1
"GYOVF",13,4,5
"GYOVF",13,5,4
"GYOVF",13,6,3
"GYOVF",13,7,5
"GYOVF",13,8,1
"GYOVF",13,9,4
"GYOVF",13,10,1
"GYOVF",13,11,5
"GYOVF",13,12,1
"GYOVF",13,13,2
"GYOVF",13,14,5
"GYOVF",13,15,5
"GYOVF",13,16,3
"GYOVF",13,17,2
"GYOVF",13,18,1
"GYOVF",13,19,4
"GYOVF",13,20,2
"GYOVF",13,21,1
"GYOVF",13,22,4
"GYOVF",13,23,4
"GYOVF",13,24,2
"GYOVF",13,25,3
"GYOVF",13,26,1
"GYOVF",14,1,3
"GYOVF",14,2,2
"GYOVF",14,3,1
"GYOVF",14,4,5
"GYOVF",14,5,4
"GYOVF",14,6,3
"GYOVF",14,7,5
"GYOVF",14,8,
"GYOVF",14,9,4
"GYOVF",14,10,1
"GYOVF",14,11,
"GYOVF",14,12,1
"GYOVF",14,13,2
"GYOVF",14,14,3
"GYOVF",14,15,3
"GYOVF",14,16,3
"GYOVF",14,17,
"GYOVF",14,18,
"GYOVF",14,19,
"GYOVF",14,20,
"GYOVF",14,21,
"GYOVF",14,22,
"GYOVF",14,23,
"GYOVF",14,24,5
"GYOVF",14,25,2
"GYOVF",14,26,1
"GYOVF",15,1,3
"GYOVF",15,2,2
"GYOVF",15,3,1
"GYOVF",15,4,5
"GYOVF",15,5,2
"GYOVF",15,6,3
"GYOVF",15,7,3
"GYOVF",15,8,1
"GYOVF",15,9,2
"GYOVF",15,10,1
"GYOVF",15,11,5
"GYOVF",15,12,1
"GYOVF",15,13,2
"GYOVF",15,14,3
"GYOVF",15,15,
"GYOVF",15,16,4
"GYOVF",15,17,3
"GYOVF",15,18,2
"GYOVF",15,19,4
"GYOVF",15,20,5
"GYOVF",15,21,2
"GYOVF",15,22,1
"GYOVF",15,23,5
"GYOVF",15,24,2
"GYOVF",15,25,3
"GYOVF",15,26,
"GYOVF",20,1,3
"GYOVF",20,2,2
"GYOVF",20,3,1
"GYOVF",20,4,4
"GYOVF",20,5,4
"GYOVF",20,6,3
"GYOVF",20,7,5
"GYOVF",20,8,1
"GYOVF",20,9,4
"GYOVF",20,10,1
"GYOVF",20,11,5
"GYOVF",20,12,1
"GYOVF",20,13,2
"GYOVF",20,14,5
"GYOVF",20,15,
"GYOVF",20,16,
"GYOVF",20,17,
"GYOVF",20,18,
"GYOVF",20,19,
"GYOVF",20,20,
"GYOVF",20,21,
"GYOVF",20,22,
"GYOVF",20,23,
"GYOVF",20,24,
"GYOVF",20,25,
"GYOVF",20,26,
"GYOVF",19,1,3
"GYOVF",19,2,2
"GYOVF",19,3,1
"GYOVF",19,4,5
"GYOVF",19,5,4
"GYOVF",19,6,3
"GYOVF",19,7,5
"GYOVF",19,8,1
"GYOVF",19,9,4
"GYOVF",19,10,1
"GYOVF",19,11,5
"GYOVF",19,12,1
"GYOVF",19,13,2
"GYOVF",19,14,4
"GYOVF",19,15,1
"GYOVF",19,16,3
"GYOVF",19,17,5
"GYOVF",19,18,
"GYOVF",19,19,1
"GYOVF",19,20,4
"GYOVF",19,21,5
"GYOVF",19,22,3
"GYOVF",19,23,2
"GYOVF",19,24,4
"GYOVF",19,25,3
"GYOVF",19,26,4
"GYOVF",21,1,3
"GYOVF",21,2,2
"GYOVF",21,3,5
"GYOVF",21,4,5
"GYOVF",21,5,4
"GYOVF",21,6,3
"GYOVF",21,7,5
"GYOVF",21,8,1
"GYOVF",21,9,4
"GYOVF",21,10,1
"GYOVF",21,11,5
"GYOVF",21,12,1
"GYOVF",21,13,2
"GYOVF",21,14,3
"GYOVF",21,15,
"GYOVF",21,16,
"GYOVF",21,17,
"GYOVF",21,18,
"GYOVF",21,19,
"GYOVF",21,20,
"GYOVF",21,21,
"GYOVF",21,22,
"GYOVF",21,23,
"GYOVF",21,24,
"GYOVF",21,25,
"GYOVF",21,26,
"GYOVF",25,1,3
"GYOVF",25,2,2
"GYOVF",25,3,1
"GYOVF",25,4,5
"GYOVF",25,5,4
"GYOVF",25,6,3
"GYOVF",25,7,5
"GYOVF",25,8,1
"GYOVF",25,9,4
"GYOVF",25,10,1
"GYOVF",25,11,4
"GYOVF",25,12,1
"GYOVF",25,13,2
"GYOVF",25,14,3
"GYOVF",25,15,
"GYOVF",25,16,3
"GYOVF",25,17,2
"GYOVF",25,18,
"GYOVF",25,19,
"GYOVF",25,20,2
"GYOVF",25,21,5
"GYOVF",25,22,4
"GYOVF",25,23,4
"GYOVF",25,24,2
"GYOVF",25,25,4
"GYOVF",25,26,
"GYOVF",26,1,3
"GYOVF",26,2,2
"GYOVF",26,3,1
"GYOVF",26,4,5
"GYOVF",26,5,4
"GYOVF",26,6,3
"GYOVF",26,7,5
"GYOVF",26,8,1
"GYOVF",26,9,4
"GYOVF",26,10,1
"GYOVF",26,11,5
"GYOVF",26,12,1
"GYOVF",26,13,2
"GYOVF",26,14,3
"GYOVF",26,15,5
"GYOVF",26,16,4
"GYOVF",26,17,5
"GYOVF",26,18,1
"GYOVF",26,19,5
"GYOVF",26,20,2
"GYOVF",26,21,4
"GYOVF",26,22,5
"GYOVF",26,23,5
"GYOVF",26,24,
"GYOVF",26,25,
"GYOVF",26,26,
"GYOVF",27,1,3
"GYOVF",27,2,2
"GYOVF",27,3,1
"GYOVF",27,4,5
"GYOVF",27,5,4
"GYOVF",27,6,3
"GYOVF",27,7,5
"GYOVF",27,8,1
"GYOVF",27,9,4
"GYOVF",27,10,1
"GYOVF",27,11,5
"GYOVF",27,12,1
"GYOVF",27,13,2
"GYOVF",27,14,3
"GYOVF",27,15,5
"GYOVF",27,16,3
"GYOVF",27,17,2
"GYOVF",27,18,1
"GYOVF",27,19,4
"GYOVF",27,20,2
"GYOVF",27,21,4
"GYOVF",27,22,1
"GYOVF",27,23,5
"GYOVF",27,24,5
"GYOVF",27,25,3
"GYOVF",27,26,4
